time_s,predicted_chord
0.000,G#maj7
0.046,G#maj7
0.093,G#maj7
0.139,Fdim
0.186,F#maj7
0.232,F#maj7
0.279,Cmaj7
0.325,Cmaj7
0.372,G7
0.418,G7
0.464,Cmaj7
0.511,Em7b5
0.557,G7
0.604,Em7b5
0.650,Emaj7
0.697,Emaj7
0.743,Em7b5
0.789,Em7b5
0.836,Edim
0.882,Cmaj7
0.929,Cmaj7
0.975,C#m7b5
1.022,C#m
1.068,G7
1.115,G7
1.161,G7
1.207,Cmaj7
1.254,Fmaj7
1.300,C#maj7
1.347,G7
1.393,G7
1.440,G#maj7
1.486,G#maj7
1.533,C#7
1.579,A#7
1.625,Cmaj7
1.672,Cmaj7
1.718,C#maj7
1.765,Dm7b5
1.811,Fmaj7
1.858,Fmaj7
1.904,Cmaj7
1.950,Cmaj7
1.997,C#maj7
2.043,Gmaj7
2.090,Gmaj7
2.136,G#maj7
2.183,G#maj7
2.229,G#maj7
2.276,G#maj7
2.322,G#maj7
2.368,G#maj7
2.415,G#maj7
2.461,G#maj7
2.508,G#maj7
2.554,G#maj7
2.601,G#maj7
2.647,G#maj7
2.694,G#maj7
2.740,G#maj7
2.786,Fm
2.833,Fm
2.879,Fm
2.926,Fmaj7
2.972,Emaj7
3.019,Emaj7
3.065,Emaj7
3.111,Emaj7
3.158,G7
3.204,Cmaj7
3.251,G#maj7
3.297,Em7b5
3.344,Cmaj7
3.390,Cmaj7
3.437,Cmaj7
3.483,C#maj7
3.529,C#maj7
3.576,G
3.622,G#maj7
3.669,G#maj7
3.715,G#7
3.762,G#maj7
3.808,A#maj7
3.855,A#maj7
3.901,A#maj7
3.947,D#7
3.994,Cmaj7
4.040,C#maj7
4.087,Cmaj7
4.133,Cmaj7
4.180,C#maj7
4.226,Dm7b5
4.272,Em7b5
4.319,A#7
4.365,A#7
4.412,Edim
4.458,Cmaj7
4.505,Gmaj7
4.551,Gmaj7
4.598,Gmaj7
4.644,Gmaj7
4.690,A#7
4.737,A#maj7
4.783,A#maj7
4.830,Bmaj7
4.876,Gm
4.923,C#maj7
4.969,C#maj7
5.016,C#maj7
5.062,C#maj7
5.108,C#maj7
5.155,C#maj7
5.201,C#maj7
5.248,C#maj7
5.294,C#maj7
5.341,Emaj7
5.387,Emaj7
5.433,Emaj7
5.480,Emaj7
5.526,Emaj7
5.573,Gmaj7
5.619,Am7b5
5.666,C7
5.712,C7
5.759,G#maj7
5.805,C7
5.851,C7
5.898,G#maj7
5.944,C7
5.991,Amaj7
6.037,Em
6.084,C7
6.130,Fmaj7
6.177,A#7
6.223,A#7
6.269,A#maj7
6.316,Gm
6.362,C7
6.409,C7
6.455,C7
6.502,A#7
6.548,C7
6.594,Cmaj7
6.641,Cmaj7
6.687,F7
6.734,A#maj7
6.780,Em7b5
6.827,Cmaj7
6.873,Fmaj7
6.920,Dm7
6.966,F7
7.012,Fmaj7
7.059,Cmaj7
7.105,Cmaj7
7.152,Dmaj7
7.198,Dmaj7
7.245,Emaj7
7.291,Emaj7
7.338,Fmaj7
7.384,Fmaj7
7.430,Fmaj7
7.477,Gmaj7
7.523,Gmaj7
7.570,G#maj7
7.616,Amaj7
7.663,Amaj7
7.709,A#maj7
7.755,A#maj7
7.802,Cmaj7
7.848,Cmaj7
7.895,C
7.941,Dmaj7
7.988,D
8.034,Emaj7
8.081,E
8.127,Fmaj7
8.173,Fmaj7
8.220,C#maj7
8.266,G7
8.313,C7
8.359,C7
8.406,C7
8.452,C7
8.499,C7
8.545,C7
8.591,C
8.638,C
8.684,G7
8.731,G7
8.777,Cmaj7
8.824,Cmaj7
8.870,C7
8.916,C7
8.963,C7
9.009,Am
9.056,C7
9.102,C7
9.149,Dm
9.195,Dm
9.242,Dm
9.288,Dm
9.334,Dm
9.381,Bm7b5
9.427,G7
9.474,Em
9.520,Em
9.567,G7
9.613,Cmaj7
9.660,Cmaj7
9.706,Gmaj7
9.752,Gmaj7
9.799,Gmaj7
9.845,Gmaj7
9.892,Gmaj7
9.938,Gmaj7
9.985,Gmaj7
10.031,Bm7b5
10.077,Gmaj7
10.124,Gmaj7
10.170,Gmaj7
10.217,Gmaj7
10.263,Cmaj7
10.310,C#maj7
10.356,A#m7b5
10.403,Cmaj7
10.449,Cmaj7
10.495,Cmaj7
10.542,Cmaj7
10.588,Cmaj7
10.635,Cmaj7
10.681,Cmaj7
10.728,Cmaj7
10.774,Cmaj7
10.820,Cmaj7
10.867,Cmaj7
10.913,Cmaj7
10.960,C
11.006,A#maj7
11.053,Fmaj7
11.099,Fmaj7
11.146,Fmaj7
11.192,Caug
11.238,Caug
11.285,Emaj7
11.331,Cmaj7
11.378,Caug
11.424,Caug
11.471,Caug
11.517,Caug
11.564,Caug
11.610,Caug
11.656,Caug
11.703,Caug
11.749,Caug
11.796,Caug
11.842,Caug
11.889,Caug
11.935,Caug
11.981,Fmaj7
12.028,Fmaj7
12.074,Fmaj7
12.121,Fmaj7
12.167,Fmaj7
12.214,Fmaj7
12.260,Fmaj7
12.307,Caug
12.353,Fmaj7
12.399,Fmaj7
12.446,Caug
12.492,Caug
12.539,Caug
12.585,Fmaj7
12.632,Fmaj7
12.678,Caug
12.725,Caug
12.771,Cmaj7
12.817,Caug
12.864,Caug
12.910,Caug
12.957,Caug
13.003,Caug
13.050,Fmaj7
13.096,Fmaj7
13.142,Fmaj7
13.189,Fmaj7
13.235,Fmaj7
13.282,Fm
13.328,Fmaj7
13.375,Caug
13.421,Fmaj7
13.468,Cmaj7
13.514,Fmaj7
13.560,Fmaj7
13.607,Fmaj7
13.653,Fmaj7
13.700,Fmaj7
13.746,Fmaj7
13.793,Fmaj7
13.839,Fmaj7
13.886,Fmaj7
13.932,Cmaj7
13.978,Cmaj7
