beat_time_s,predicted_chord
0.432,C#7
0.987,G#7
1.509,A#maj7
2.021,A#maj7
2.603,C#7
3.115,D#7
3.620,G#maj7
4.203,C#7
4.743,G#7
5.257,D#m
5.807,F#maj7
6.277,C#7
6.773,A#maj7
7.317,Fmaj7
7.864,C#7
8.404,A#maj7
8.910,C#7
9.444,G#7
10.044,A#maj7
10.536,A#maj7
11.040,A#maj7
11.604,G#maj7
12.177,F#maj7
12.760,Fmaj7
13.264,Am7b5
13.771,D#m
14.325,Bmaj7
14.848,A#maj7
15.323,C#7
15.899,A#maj7
16.459,Fmaj7
16.993,C#7
17.447,C#7
18.011,G#7
18.496,A#maj7
19.088,A#maj7
19.590,C#7
20.118,D#7
20.659,F#7
21.168,C#7
21.719,G#7
22.235,D#m
22.780,C#maj7
23.272,C#maj7
23.790,A#maj7
24.332,A#maj7
24.872,C#7
25.400,C#7
