beat_time_s,predicted_chord
1.013,Dmaj7
1.592,A#maj7
2.178,Fmaj7
2.792,Em
3.360,Am7b5
3.963,A#maj7
4.544,A#7
5.120,Am7b5
5.733,D#maj7
6.352,A#maj7
6.965,A#maj7
7.553,Dmaj7
8.082,C7
8.660,Gmaj7
9.237,Gmaj7
9.870,C7
10.464,G7
11.023,Gmaj7
11.640,C7
12.217,Amaj7
12.801,Dmaj7
