beat_time_s,predicted_chord
0.448,C#7
0.800,F#maj7
1.156,D#7
1.572,Adim
1.936,A#maj7
2.216,A#maj7
2.608,C#7
2.941,D#7
3.307,G#7
3.669,G#maj7
4.021,C#
4.355,C#7
4.741,G#7
5.075,D#m
5.437,F#7
5.819,F#maj7
6.120,F#maj7
6.453,A#maj7
6.789,A#maj7
7.131,Fmaj7
7.520,Amaj7
7.883,D#7
8.235,A#maj7
8.576,C#7
8.907,C#7
9.277,F#maj7
9.620,A#maj7
10.032,Adim
10.392,A#maj7
10.696,C#7
11.029,A#maj7
11.412,G#maj7
11.823,C#7
12.171,F#
12.555,A#maj7
12.915,A#maj7
13.253,C7
13.620,D#m
13.965,D#m
14.364,A#maj7
14.676,F#maj7
15.000,C#7
15.344,C#7
15.723,A#maj7
16.080,F#maj7
16.501,Fmaj7
16.833,C#7
17.121,C#7
17.440,C#maj7
17.820,F#maj7
18.165,A#maj7
18.523,Adim
18.900,Bmaj7
19.233,C#7
19.584,G#maj7
19.926,G#maj7
20.295,G#7
20.656,D#m
20.997,C#7
21.375,C#7
21.701,G#7
22.056,D#m
22.449,F#7
22.824,C#maj7
23.091,C#7
23.445,A#maj7
23.792,A#maj7
24.138,A#maj7
24.501,A#maj7
24.864,C#7
25.248,D#7
