beat_time_s,predicted_chord
0.378,Bmaj7
0.951,Bmaj7
1.422,Emaj7
1.905,Bmaj7
2.364,Emaj7
2.800,D#m7b5
3.275,Emaj7
3.739,Amaj7
4.181,E7
4.651,E7
5.365,Bmaj7
5.852,Bmaj7
6.354,Bmaj7
6.827,Amaj7
7.247,Emaj7
7.710,Emaj7
8.200,Bmaj7
8.643,Emaj7
9.100,Bmaj7
9.567,Emaj7
10.003,D#m7b5
10.433,Emaj7
10.890,Amaj7
11.390,Cmaj7
11.848,Cmaj7
12.288,G
12.805,G
13.253,A#maj7
13.713,A#maj7
14.200,Cmaj7
14.640,Cmaj7
15.101,A#maj7
15.573,A#maj7
16.016,G7
16.459,Cmaj7
16.903,C7
17.323,A#maj7
17.808,Gmaj7
18.242,Cmaj7
18.699,D7
19.131,Dmaj7
19.602,Cmaj7
