"Start";"End";"Label"
"0.106666667";"5.056";"Eb"
"5.056";"6.314666667";"C6"
"6.314666667";"7.445333333";"Bb"
"7.445333333";"8.725333333";"Ab/Bb"
"8.725333333";"11.136";"G7/B"
"11.136";"12.266666667";"Cm7"
"12.266666667";"13.312";"G"
"13.312";"13.568";"Fdim"
"13.568";"14.677333333";"Cm7"
"14.677333333";"15.338666667";"Dm7b5/C"
"15.338666667";"15.530666667";"Cm7"
"15.530666667";"16.085333333";"Fm"
"16.085333333";"16.981333333";"Cm6"
"16.981333333";"18.346666667";"G7/B"
"18.346666667";"18.88";"Cm"
