"Start";"End";"Label"
"0.021333333";"2.581333333";"Bbm7"
"2.581333333";"3.584";"Ab/Bb"
"3.584";"4.736";"Bbm7"
"4.736";"5.248";"Ebm"
"5.248";"6.378666667";"Bbm"
"6.378666667";"6.741333333";"F#m"
"6.741333333";"7.317333333";"F"
"7.317333333";"7.637333333";"Aaug"
"7.637333333";"8.021333333";"Cm7"
"8.021333333";"9.6";"Bbm"
"9.6";"10.048";"F7"
"10.048";"10.986666667";"Bbm"
"10.986666667";"11.562666667";"Ab/Bb"
"11.562666667";"12.138666667";"F#"
"12.138666667";"13.226666667";"F7/A"
"13.226666667";"14.378666667";"Ebm"
"14.378666667";"15.317333333";"Bbm"
"15.317333333";"16.554666667";"Bbmaj7"
"16.554666667";"19.562666667";"Bbm7"
"19.562666667";"20.074666667";"Ab"
"20.074666667";"20.266666667";"Bbm"
"20.266666667";"20.608";"Cm7b5/Bb"
"20.608";"21.312";"Bbm7"
"21.312";"21.674666667";"F7/A"
"21.674666667";"22.208";"Ebm"
"22.208";"23.381333333";"Bbm"
"23.381333333";"23.573333333";"F#m"
"23.573333333";"23.744";"F#/G#"
"23.744";"24.298666667";"F"
"24.298666667";"24.682666667";"Bbm"
"24.682666667";"25.045333333";"Cm7"
"25.045333333";"25.664";"Bbm7"
