"Start";"End";"Label"
"0.256";"1.386666667";"B7"
"1.386666667";"2.048";"Em"
"2.048";"2.965333333";"B7"
"2.965333333";"3.754666667";"Em"
"3.754666667";"4.864";"B7"
"4.864";"5.610666667";"E/B"
"5.610666667";"6.186666667";"Bmaj7"
"6.186666667";"6.570666667";"Cmaj7"
"6.570666667";"8.469333333";"B7"
"8.469333333";"9.152";"Em"
"9.152";"9.322666667";"Am"
"9.322666667";"10.154666667";"Bmaj7"
"10.154666667";"10.922666667";"E/B"
"10.922666667";"11.093333333";"Am"
"11.093333333";"12.202666667";"Bmaj7"
"12.202666667";"12.757333333";"Em"
"12.757333333";"12.864";"Am"
"12.864";"13.76";"Bmaj7"
"13.76";"14.272";"E/B"
"14.272";"14.741333333";"G"
"14.741333333";"15.296";"Cmaj7"
"15.296";"15.68";"B7"
"15.68";"16.704";"Em"
"16.704";"17.088";"B7"
