"Start";"End";"Label"
"0.149333333";"0.896";"B7"
"0.896";"1.365333333";"E"
"1.365333333";"1.856";"B"
"1.856";"2.346666667";"E"
"2.346666667";"2.816";"Bm7"
"2.816";"3.797333333";"E"
"3.797333333";"4.501333333";"A"
"4.501333333";"4.970666667";"Abm"
"4.970666667";"6.336";"B7"
"6.336";"6.528";"Bbm7b5"
"6.528";"7.701333333";"E"
"7.701333333";"7.872";"Bbm7b5"
"7.872";"8.149333333";"Bmaj7"
"8.149333333";"8.618666667";"E"
"8.618666667";"9.088";"Bmaj7"
"9.088";"9.536";"E"
"9.536";"10.005333333";"B7"
"10.005333333";"11.050666667";"E"
"11.050666667";"11.861333333";"Am"
"11.861333333";"12.8";"G"
"12.8";"13.589333333";"Am6"
"13.589333333";"14.506666667";"Em"
"14.506666667";"15.509333333";"B7"
"15.509333333";"16.128";"Em"
"16.128";"16.448";"Cmaj7"
"16.448";"17.301333333";"Am"
"17.301333333";"18.197333333";"Em"
"18.197333333";"18.538666667";"A/B"
"18.538666667";"19.050666667";"F#m"
"19.050666667";"19.264";"G"
"19.264";"20.181333333";"E"
