beat_time_s,predicted_chord
0.272,Cmaj7
0.585,D7
0.888,Adim
1.195,A#maj7
1.510,Cmaj7
1.808,Cmaj7
2.080,Cmaj7
2.427,Bmaj7
2.736,Bmaj7
3.043,Bmaj7
3.339,Gmaj7
3.608,Cmaj7
3.904,Cmaj7
4.184,Bmaj7
4.507,Bmaj7
4.837,Bmaj7
5.144,Fmaj7
5.427,Cmaj7
5.707,Cmaj7
6.025,Bmaj7
6.327,Bmaj7
6.653,Cmaj7
6.980,Bmaj7
7.273,Bmaj7
7.597,Cmaj7
7.923,Bmaj7
8.193,Bmaj7
8.480,Bmaj7
8.780,Bmaj7
9.053,Cmaj7
9.352,Cmaj7
9.698,Bmaj7
10.017,Bmaj7
10.300,Bmaj7
10.597,Cmaj7
10.843,Cmaj7
11.152,Cmaj7
11.484,Bmaj7
11.764,Bmaj7
12.053,Bmaj7
12.344,Bmaj7
12.664,Cmaj7
12.952,Cmaj7
13.280,Bmaj7
13.580,Bmaj7
13.887,Bmaj7
14.180,Emaj7
14.453,G7
14.784,G7
15.045,Cmaj7
15.363,D#7
15.660,Bmaj7
15.932,Cmaj7
16.263,Cmaj7
16.573,Cmaj7
