time_s,predicted_chord
0.000,D#maj7
0.046,Emaj7
0.093,Emaj7
0.139,Emaj7
0.186,Emaj7
0.232,Am
0.279,Cmaj7
0.325,Cmaj7
0.372,Cmaj7
0.418,C
0.464,Fmaj7
0.511,Cmaj7
0.557,Emaj7
0.604,C
0.650,C
0.697,C7
0.743,C7
0.789,Edim
0.836,C
0.882,Edim
0.929,Emaj7
0.975,C
1.022,C
1.068,C
1.115,C
1.161,G#maj7
1.207,G#maj7
1.254,Gmaj7
1.300,G#maj7
1.347,C#dim
1.393,Edim
1.440,Edim
1.486,Em
1.533,C
1.579,C
1.625,G#maj7
1.672,G#maj7
1.718,Gmaj7
1.765,Gmaj7
1.811,Gmaj7
1.858,Gmaj7
1.904,Gmaj7
1.950,Gmaj7
1.997,Gmaj7
2.043,Gmaj7
2.090,Gmaj7
2.136,Gmaj7
2.183,Gmaj7
2.229,D
2.276,D
2.322,Dmaj7
2.368,Dmaj7
2.415,Dmaj7
2.461,Dmaj7
2.508,Dmaj7
2.554,Dmaj7
2.601,Dmaj7
2.647,Dmaj7
2.694,Dmaj7
2.740,Dmaj7
2.786,Dmaj7
2.833,Dmaj7
2.879,Dmaj7
2.926,Dmaj7
2.972,Dmaj7
3.019,Ddim
3.065,A#7
3.111,F#maj7
3.158,Dm
3.204,Dm
3.251,Dm
3.297,Dm
3.344,Dm
3.390,Fmaj7
3.437,Fmaj7
3.483,Fmaj7
3.529,Fmaj7
3.576,Fmaj7
3.622,Fmaj7
3.669,Fmaj7
3.715,Fmaj7
3.762,Fmaj7
3.808,Emaj7
3.855,Fmaj7
3.901,Emaj7
3.947,Emaj7
3.994,Emaj7
4.040,Emaj7
4.087,Emaj7
4.133,Emaj7
4.180,Emaj7
4.226,Emaj7
4.272,Amaj7
4.319,Ddim
4.365,Ddim
4.412,Ddim
4.458,Ddim
4.505,Ddim
4.551,Ddim
4.598,Amaj7
4.644,Amaj7
4.690,Amaj7
4.737,G#dim
4.783,G#dim
4.830,G#dim
4.876,Emaj7
4.923,Emaj7
4.969,Emaj7
5.016,G7
5.062,G#dim
5.108,G7
5.155,G#dim
5.201,G#dim
5.248,G#dim
5.294,Fm6
5.341,F7
5.387,Dm7
5.433,Dm7b5
5.480,Dm7b5
5.526,Dm7b5
5.573,F7
5.619,F7
5.666,C#maj7
5.712,Cmaj7
5.759,Cmaj7
5.805,Cmaj7
5.851,C#maj7
5.898,Am
5.944,C#maj7
5.991,C#maj7
6.037,Cmaj7
6.084,Cmaj7
6.130,Cmaj7
6.177,Cmaj7
6.223,Cmaj7
6.269,Cmaj7
6.316,Cmaj7
6.362,Cmaj7
6.409,Bm7b5
6.455,F
6.502,F
6.548,C7
6.594,Am
6.641,Amaj7
6.687,G#maj7
6.734,G#maj7
6.780,Gmaj7
6.827,Fmaj7
6.873,Fmaj7
6.920,Fmaj7
6.966,Fmaj7
7.012,Fmaj7
7.059,Fmaj7
7.105,Fmaj7
7.152,Fmaj7
7.198,Fdim
7.245,Fmaj7
7.291,Fdim
7.338,Fdim
7.384,Gmaj7
7.430,Emaj7
7.477,Emaj7
7.523,B7
7.570,Fdim
7.616,Fm7b5
7.663,F#maj7
7.709,G#maj7
7.755,G#maj7
7.802,Caug
7.848,G#maj7
7.895,Caug
7.941,Fm
7.988,G#maj7
8.034,G#maj7
8.081,G#maj7
8.127,Gmaj7
8.173,G#maj7
8.220,F#maj7
8.266,Fm7b5
8.313,Fm
8.359,Fm
8.406,Fm
8.452,Fm
8.499,Fmaj7
8.545,C7
8.591,Cmaj7
8.638,Cmaj7
8.684,Fmaj7
8.731,Emaj7
8.777,Emaj7
8.824,Emaj7
8.870,C
8.916,C
8.963,G7
9.009,Emaj7
9.056,Gmaj7
9.102,G#maj7
9.149,G#maj7
9.195,Gmaj7
9.242,Gmaj7
9.288,G#maj7
9.334,Cmaj7
9.381,Cmaj7
9.427,Cmaj7
9.474,Cmaj7
9.520,Cmaj7
9.567,F#dim
9.613,Cmaj7
9.660,Cmaj7
9.706,Cmaj7
9.752,Cmaj7
9.799,Cmaj7
9.845,Emaj7
9.892,C
9.938,C
9.985,Cmaj7
10.031,Cmaj7
10.077,C
