beat_time_s,predicted_chord
0.030,Emaj7
0.469,C
0.925,C
1.376,C
1.773,Gmaj7
2.176,Dmaj7
2.621,Dmaj7
3.040,Dm
3.469,Fmaj7
3.840,Emaj7
4.317,Ddim
4.736,Emaj7
5.155,Dm7b5
5.600,C#maj7
5.997,Cmaj7
6.400,C7
6.840,Fmaj7
7.253,Fm7b5
7.683,G#maj7
8.128,Fm
8.536,Emaj7
8.949,G#maj7
9.384,Cmaj7
9.803,Cmaj7
10.232,Cmaj7
10.624,Bm7b5
11.069,Gmaj7
11.509,Gmaj7
11.912,C#maj7
12.331,G#maj7
12.744,A#maj7
13.131,D#7
13.592,Cmaj7
13.963,Cmaj7
14.435,Cmaj7
14.837,Cmaj7
15.277,Amaj7
15.691,A#maj7
16.120,A#maj7
