beat_time_s,predicted_chord
0.270,Cmaj7
0.742,D7
1.181,Adim
1.680,Cmaj7
2.081,Cmaj7
2.576,Bmaj7
3.024,Bmaj7
3.495,Cmaj7
3.911,Cmaj7
4.373,Bmaj7
4.835,Bmaj7
5.278,Emaj7
5.712,Cmaj7
6.193,Bmaj7
6.659,Cmaj7
7.140,Bmaj7
7.588,Cmaj7
8.041,Bmaj7
8.479,Bmaj7
8.965,Cmaj7
9.431,Cmaj7
9.819,Bmaj7
10.262,Bmaj7
10.757,Cmaj7
11.200,Cmaj7
11.578,Bmaj7
12.012,Bmaj7
12.469,Bmaj7
12.959,Cmaj7
13.421,Bmaj7
13.897,Bmaj7
14.429,Emaj7
14.854,G7
15.311,Cmaj7
15.765,Bmaj7
16.217,Cmaj7
16.665,Cmaj7
