beat_time_s,predicted_chord
0.433,Gmaj7
0.913,Emaj7
1.373,Em7b5
1.853,Gmaj7
2.293,Amaj7
2.772,Cmaj7
3.255,Cmaj7
3.732,Gmaj7
4.200,Bmaj7
4.660,Bmaj7
5.127,Bmaj7
5.579,Gmaj7
6.035,Gmaj7
6.523,A7
6.987,Bmaj7
7.509,Fmaj7
7.948,G7
8.396,Emaj7
8.859,Gmaj7
9.318,Gmaj7
9.759,Amaj7
10.254,Cmaj7
10.696,Bmaj7
11.173,Bmaj7
11.632,Am
12.112,Cmaj7
12.597,Am
13.076,Bmaj7
13.560,Cmaj7
14.040,Bmaj7
14.484,A7
14.947,Em
