beat_time_s,predicted_chord
0.256,C#maj7
1.005,Em7b5
1.611,G7
2.235,Dm7b5
2.995,G#maj7
3.640,Cmaj7
4.291,D#7
4.936,A#7
5.581,E7
6.285,C7
6.931,C7
7.576,Fmaj7
8.221,Fmaj7
8.949,C7
9.677,G7
10.347,Gmaj7
11.040,Cmaj7
11.701,Caug
12.360,Caug
13.013,Caug
13.696,Fmaj7
